breed,comb
Aloha Chickens,single
Altsteirer Styrian Hen,single
Amber Star Hybrid,single
Amber Whites,single
Ameraucana,pea
American Bresse,single
American Game,pea
American Game Bantams,
Ancona,single
Andalusian,single
Appenzeller Spitzhauben,v-shaped
Arau-ameraucana,pea
Araucana,pea
Aseel,pea
Australorp,single
Ayam Cemani,single
Bantam,any
Bantam Barred Rock,
Bantam Orpington,single
Bantam Partridge Wyandotte,rose
Barbezieux Chicken,
Barnevelder,single
Barnyard Mix,any
Barred Rock,single
Belgian Cuckoo Malines,
Belgian D' Anver,rose
Belgian D' Uccle,single
Belgian Watermaal,
Bielefelder,single
Black Sex Link Chicken,single
Blue Isbar,
Booted,single
Brabanter,v-shaped
Brahma,pea
Brahma - Bantam,pea
Bredas,
British Tailed Araucana,pea
Brown Leghorn,
Buckeye,pea
Buff Cochin,single
Buff Orpington X Black Australorp,single
Buff Orpington X Easter Egger,pea
Buff Orpington X Gold Laced Wyandotte,rose
California Grey,single
Campine,single
Carolina Blue Sex-link Ee,pea
Catalana,single
Chantecler,cushion
Chicken Phoenix - Bantam,
Cochin,single
Colombian Rock,
Columbian Blacktails,single
Cornish,pea
Cornish Bantams,pea
Cornish Cross,pea
Cream Brabanter,
Crevecoeur,v-shaped
Cubalaya,pea
Cuckoo Maran,single
Delaware,single
Delaware Blue Hen,single
Derbyshire Redcap,rose
Dominique,rose
Dorking,single
Dutch,single
East Frisian Gull - An Old World Landrace,
Easter Egger Bantam,single
Easter Eggers,pea
Euskal Oiloa - Marraduna Basque,
Favacauna,pea
Faverolles,single
Fayoumis,single
Flarry Eyed Gray,
Freedom Ranger,
Frizzle,single
Gallo Giro,single
Gallo Kelso,single
Genetic Hackle,
Giro Gamefowl,
Gold Star,single
Golden Campines,single
Golden Comet,single
Golden Penciled Hamburg,
Golden Sex Link,single
Greek,
Green Queen,pea
Hamburg,rose
Hmong Chickens ,pea
Hmong Chickens ,single
Holland,single
Houdan,v-shaped
Hy-line Layers,single
Icelandic Or Viking Hen,single
Iowa Blue,single
Ixworth,pea
Japanese,single
Java,single
Jersey Giant,single
Ko Shamo,walnut
Kraienk̦ppe,walnut
La Fleche,v-shaped
Lakenvelder,single
Langshan,single
Lavender Orpington Bantam,pea
Legbar,single
Leghorn,single
Leghorn - Bantam,single
Lohman Brown,single
Malay,
Marans,single
Minorca,single
Mixing Chickens,
Modern Game,single
Mottled Cochin ,single
Naked Neck-turken,pea
Nankin Bantams,single
New Hampshire,single
Norfolk Grey,single
Northern California Poulet Bleu,single
Norwegian Jaerhon,single
O Shamo,pea
Ohiki,pea
Ohiki,single
Olandsk Dwarf,single
Old English Game Bantam,single
Olive Egger,pea
Orpington,single
Partridge Plymouth Rock,single
Pavlovskaja,v-shaped
Penedesenca,
Phoenix,single
Pita Pinta ,single
Plymouth Rock,single
Polish,v-shaped
Porcelain D' Uccle Bantam,single
Production,single
Production Black ,
Production Reds,single
Pyncheon,single
Queen Silvia,
Red Sex Link,single
Red Sussex Rooster - Rooster Booster,
Red-breasted Rosecomb Bantam,rose
Rhode Island Red,single
Rhode Island Red Bantam,single
Rhode Island White,rose
Rhodebar,single
Rosecomb,rose
Russian Crested,single
Russian Orloff,walnut
Sagitta Chiken,buttercup
Salmon Favorelle,single
Sapphire Gem ,single
Sebright,rose
Serama,single
Showgirl,walnut
Sicilian Buttercup,buttercup
Sienna Star,single
Silkie,walnut
Silver Sussex,single
Sizzle,walnut
Smaaland,single
Star,single
Sulmtaler,single
Sultan,v-shaped
Sumatra,pea
Super Blue Egg Layer,pea
Sussex,single
Svart Hona,single
Swedish Flower Chicken,
Transylvanian Naked Neck ,
Vorwerk,single
Welbar,single
Welsummer,single
White Bresse,
White Faced Black Spanish,single
White Star Hybrid,single
Whiting True Blue,pea
Whiting True Green,single
Wyandotte,rose
Yokohama,walnut
