link,breed,mark,number of ratings,number of comments,number of reviews,number of views,breed purpose,comb,broodiness,climate tolerance,egg productivity,egg size,breed size
https://www.backyardchickens.com/reviews/carolina-blue-sex-link-ee.11698/,Carolina Blue Sex-link Ee,3.0,1,1,1,8538,ornamental,pea,rare,colder better,medium,medium,large
https://www.backyardchickens.com/reviews/catalana.10862/,Catalana,4.33,3,8,2,11047,dual purpose,single,rare,warmer better,medium,medium,large
https://www.backyardchickens.com/reviews/chantecler.10865/,Chantecler,4.19,21,61,19,43630,dual purpose,cushion,average,colder better,medium,medium,large
https://www.backyardchickens.com/reviews/chicken-phoenix-bantam.11420/,Chicken Phoenix - Bantam,4.43,7,6,7,5832,ornamental,,rare,any,low,small,small
https://www.backyardchickens.com/reviews/cochin.10843/,Cochin,4.44,183,99,179,83942,ornamental,single,frequent,colder better,low,medium,large
https://www.backyardchickens.com/reviews/colombian-rock.11432/,Colombian Rock,4.09,11,5,11,26723,,,,,,,
https://www.backyardchickens.com/reviews/columbian-blacktails.11409/,Columbian Blacktails,5.0,1,2,1,6372,dual purpose,single,average,any,high,medium,large
https://www.backyardchickens.com/reviews/cornish.10877/,Cornish,4.04,25,36,24,24937,meat,pea,average,any,medium,medium,large
https://www.backyardchickens.com/reviews/cornish-bantams.11462/,Cornish Bantams,4.6,5,6,5,14879,meat,pea,average,any,low,small,small
https://www.backyardchickens.com/reviews/cornish-cross.10897/,Cornish Cross,4.11,36,63,36,46097,meat,pea,rare,any,low,medium,large
https://www.backyardchickens.com/reviews/cream-brabanter.11958/,Cream Brabanter,,,1,,1647,eggs,,,,,,
https://www.backyardchickens.com/reviews/crevecoeur.10847/,Crevecoeur,4.67,15,22,15,20782,dual purpose,v-shaped,rare,any,low,medium,large
https://www.backyardchickens.com/reviews/cubalaya.10868/,Cubalaya,4.64,11,5,11,15474,ornamental,pea,average,any,medium,medium,large
https://www.backyardchickens.com/reviews/cuckoo-maran.11917/,Cuckoo Maran,5.0,1,1,,2553,dual purpose,single,average,colder better,medium,large,large
https://www.backyardchickens.com/reviews/delaware.10833/,Delaware,4.06,78,75,77,71443,dual purpose,single,average,any,medium,large,large
https://www.backyardchickens.com/reviews/delaware-blue-hen.10845/,Delaware Blue Hen,4.0,2,5,2,21842,dual purpose,single,rare,any,medium,medium,large
https://www.backyardchickens.com/reviews/derbyshire-redcap.11828/,Derbyshire Redcap,4.0,1,,1,2511,dual purpose,rose,,colder better,,large,large
https://www.backyardchickens.com/reviews/dominique.10898/,Dominique,4.38,65,80,63,66205,dual purpose,rose,average,any,medium,medium,large
https://www.backyardchickens.com/reviews/dorking.10873/,Dorking,4.27,22,19,20,44982,dual purpose,single,frequent,any,medium,large,large
https://www.backyardchickens.com/reviews/dutch.10837/,Dutch,4.59,17,12,15,10549,ornamental,single,frequent,any,medium,small,small
https://www.backyardchickens.com/reviews/easter-egger-bantam.11747/,Easter Egger Bantam,4.5,4,3,4,14084,dual purpose,single,rare,colder better,medium,small,small
https://www.backyardchickens.com/reviews/easter-eggers.10830/,Easter Eggers,4.35,386,530,378,152566,eggs,pea,rare,any,medium,medium,large
https://www.backyardchickens.com/reviews/euskal-oiloa-marraduna-basque.11341/,Euskal Oiloa - Marraduna Basque,4.5,10,22,10,18194,,,,,,,
